三叉神经痛	三叉神经疼
下肢隐痛	大腿部隐痛
下肢隐痛	大腿隐痛
下肢隐痛	腿脚隐痛
下肢隐痛	腿部隐痛
下肢隐痛	腿隐痛
下肢静脉曲张	下肢浅静脉曲张
下肢静脉曲张	下肢深静脉曲张
下肢麻痹	下半身麻痹
下肢麻痹	两条腿麻痹
下肢麻痹	双侧大腿麻痹
下肢麻痹	双大腿麻痹
下肢麻痹	双腿麻痹
下肢麻痹	大腿部麻痹
下肢麻痹	大腿麻痹
下肢麻痹	腿脚麻痹
下肢麻痹	腿部麻痹
下肢麻痹	腿麻痹
下腹出血	下腹部出血
下腹出血	小肚子出血
下腹出血	小腹出血
下腹出血	小腹部出血
下腹压痛	下腹部压痛
下腹压痛	小肚子压痛
下腹压痛	小腹压痛
下腹压痛	小腹部压痛
下腹坠痛	下腹部坠痛
下腹坠痛	小肚子坠痛
下腹坠痛	小腹坠疼
下腹坠痛	小腹坠痛
下腹坠痛	小腹部坠痛
下腹坠痛	盆腔下坠痛
下腹坠痛	腹下坠痛
下腹坠胀	下腹部坠胀
下腹坠胀	下腹部坠胀不适
下腹坠胀	小肚子坠胀
下腹坠胀	小腹坠胀
下腹坠胀	小腹部坠胀
下腹痛	下腹刺痛
下腹痛	下腹剧痛
下腹痛	下腹很痛
下腹痛	下腹疼
下腹痛	下腹疼痛
下腹痛	下腹疼痛不适
下腹痛	下腹胀痛
下腹痛	下腹部刺痛
下腹痛	下腹部剧痛
下腹痛	下腹部疼痛
下腹痛	下腹部疼痛不适
下腹胀	下腹发胀
下腹胀	下腹部发胀
下腹胀	下腹部胀
下腹胀	小肚子发胀
下腹胀	小肚子胀
下腹胀	小肚胀
下腹胀	小腹涨
下腹胀	小腹部胀
下腹部水肿	下腹水肿
下腹部水肿	小腹水肿
下腹部水肿	小腹部水肿
不安	坐立不安
不安	忐忑不安
不安	恐惧不安
不排卵	卵巢不排卵
不能站立	不能站立行走
不规则阴道流血	不规则阴道出血
不规则阴道流血	阴道不规则出血
中上腹隐痛	中上腹部隐痛
中上腹隐痛	肚子中间隐痛
中下腹疼痛	中下腹部疼痛
中下腹疼痛	肚子下面疼痛
主动脉反流	胸主动脉反流
乏力	乏力不适
乏力	乏力困倦
乏力	体倦乏力
乏力	全身没有力气
乏力	全身泛力
乏力	全身肌肉乏力
乏力	全身肌肉无力
乏力	全身酸软
乏力	周身乏力
乏力	四肢发软
乏力	困倦乏力
乳头充血	咪咪头充血
乳头充血	奶头充血
乳头出血	咪咪头出血
乳头出血	奶头出血
乳头水肿	咪咪头水肿
乳头水肿	奶头水肿
乳头溃疡	咪咪头溃疡
乳头溃疡	奶头溃疡
乳头溢液	乳头有溢液
乳头溢液	乳腺溢液
乳头溢液	咪咪头溢液
乳头溢液	奶头溢液
乳头疱疹	咪咪头疱疹
乳头疱疹	奶头疱疹
乳头疼痛	乳头一碰就疼
乳头疼痛	乳头会疼
乳头疼痛	乳头会痛
乳头疼痛	乳头很疼
乳头疼痛	乳头有点疼
乳头疼痛	乳头疼
乳头疼痛	乳头痛
乳头疼痛	乳头胀痛
乳头疼痛	咪咪头疼痛
乳头疼痛	咪咪头痛
乳头疼痛	奶头疼痛
乳头瘙痒	乳头发痒
乳头瘙痒	乳头痒
乳头瘙痒	咪咪头瘙痒
乳头瘙痒	奶头瘙痒
乳头皲裂	乳头开裂
乳头皲裂	乳头破裂
乳头皲裂	咪咪头皲裂
乳头皲裂	奶头皲裂
乳头破溃	咪咪头破溃
乳头破溃	奶头破溃
乳头红肿	咪咪头红肿
乳头红肿	奶头红肿
乳头结痂	咪咪头结痂
乳头结痂	奶头结痂
乳头肿胀	咪咪头肿胀
乳头肿胀	奶头肿胀
乳房充血	乳房部充血
乳房充血	乳腺充血
乳房皮损	乳腺皮损
乳房肥大	乳房部肥大
乳房肥大	乳腺肥大
乳房胀痛	两乳胀痛
乳房胀痛	乳房一直疼
乳房胀痛	乳房会痛
乳房胀痛	乳房会胀痛
乳房胀痛	乳房刺痛
乳房胀痛	乳房很疼
乳房胀痛	乳房总是疼
乳房胀痛	乳房有些疼
乳房胀痛	乳房有点疼
乳房胀痛	乳房涨疼
乳房胀痛	乳房涨痛
会阴部疼痛	下体刺痛
会阴部疼痛	下体疼痛
会阴部疼痛	下体痛
会阴部疼痛	下身肿痛
会阴部疼痛	会阴刺痛
会阴部疼痛	会阴疼痛
会阴部疼痛	会阴痛
会阴部疼痛	会阴肿痛
会阴部疼痛	会阴部刺痛
会阴部疼痛	会阴部痛
会阴部疼痛	外生殖器刺痛
低热	低烧
低热	发低烧
低热	发低热
低热	轻度发热
便秘	3天不大便
便秘	3天没大便了
便秘	3天没有大便了
便秘	4天不大便
便秘	4天没大便
便秘	4天没有大便
便秘	5天不大便
便秘	5天没大便
便秘	5天没有大便
便秘	7天没有大便
便秘	一个星期不大便
偏身麻木	半身麻木
偏食	挑食
停经	无月经来潮
停经	月经不来
免疫力低下	免疫力下降
免疫力低下	抵抗力不好
免疫力低下	自身免疫力低下
免疫力低下	身体免疫力下降
免疫力低下	身体免疫力低
免疫力低下	身体免疫力低下
免疫力低下	身体各处免疫力下降
免疫力低下	身体各处免疫力低下
免疫力低下	身体抵抗力差
全身不适	全身乏力
全身不适	全身倦怠
全身不适	全身无力
全身不适	全身疲乏
全身不适	周身不适
全身不适	浑身不适
全身不适	浑身乏力
全身不适	浑身无力
全身不适	浑身没劲
全身不适	身上不适
全身不适	身上乏力
全身充血	浑身充血
全身充血	身上充血
全身性瘙痒	浑身性瘙痒
全身性阵挛	浑身性阵挛
全身斑疹	浑身斑疹
全身斑疹	身上斑疹
全身泛发红斑	浑身泛发红斑
全身泛发红斑	身上泛发红斑
全身疱疹	浑身疱疹
全身疱疹	身上疱疹
全身皮损	全身性皮损
全身皮损	浑身性皮损
全身皮损	浑身皮损
全身皮损	身上性皮损
全身皮损	身上皮损
全身皮疹	全身性皮疹
全身皮疹	浑身性皮疹
全身皮疹	浑身皮疹
全身皮疹	身上性皮疹
全身皮疹	身上皮疹
全身红疹	浑身红疹
全身红疹	身上红疹
全身结节	浑身结节
全身结节	身上结节
全身肌痛	全身性肌痛
全身肌痛	浑身性肌痛
全身肌痛	浑身肌痛
全身肌痛	身上性肌痛
全身肌痛	身上肌痛
全身脓疱	浑身脓疱
全身脓疱	身上脓疱
全身衰竭	浑身衰竭
全身衰竭	身上衰竭
全身酸痛	全身乏力酸痛
全身酸痛	全身痛
全身酸痛	全身酸疼
全身酸痛	周身四肢酸痛
全身酸痛	周身肌肉酸痛
全身酸痛	周身酸痛
全身酸痛	浑身酸疼
全身酸痛	浑身酸痛
全身酸痛	身上酸痛
全身麻木	全身性麻木
全身麻木	全身神经麻木
全身麻木	发麻
全身麻木	浑身性麻木
全身麻木	浑身麻木
全身麻木	皮肤发麻
全身麻木	神经麻木
全身麻木	身上性麻木
全身麻木	身上麻木
全身麻木	身体各处麻木
全身麻木	身体麻
关节乏力	全身关节乏力
关节乏力	全身骨关节乏力
关节乏力	骨关节乏力
关节充血	全身关节充血
关节充血	全身骨关节充血
关节充血	骨关节充血
关节化脓	全身关节化脓
关节化脓	全身骨关节化脓
关节化脓	骨关节化脓
关节变形	全身关节变形
关节变形	全身骨关节变形
关节变形	骨关节变形
关节溃疡	全身关节溃疡
关节溃疡	全身骨关节溃疡
关节溃疡	骨关节溃疡
关节病变	全身关节病变
关节病变	全身骨关节病变
关节病变	骨关节病变
关节痉挛	全身关节痉挛
关节痉挛	全身骨关节痉挛
关节痉挛	骨关节痉挛
关节紧张	全身关节紧张
关节紧张	全身骨关节紧张
关节紧张	骨关节紧张
关节红斑	全身关节红斑
关节红斑	全身骨关节红斑
关节红斑	骨关节红斑
关节结节	全身关节结节
关节结节	全身骨关节结节
关节结节	骨关节结节
兴奋	全身神经兴奋
兴奋	兴奋过度
兴奋	大脑兴奋
兴奋	神经兴奋
兴奋	精神兴奋
兴奋	脑子兴奋
兴奋	脑组织兴奋
兴奋	过度兴奋
内出血	内脏出血
内出血	内脏器官出血
出冷汗	全身出冷汗
出冷汗	冒冷汗
出冷汗	冒虚汗
出冷汗	冷汗
出冷汗	易出虚汗
出冷汗	流虚汗
出冷汗	浑身出虚汗
出冷汗	爱出虚汗
出冷汗	虚汗
出冷汗	身上出虚汗
出汗	全身出汗
出汗	全身流汗
出汗	手心有汗
出汗	浑身冒汗
出汗	浑身出汗
出汗	爱出汗
出汗	身上出汗
出汗	身体出汗
出汗	额头冒汗
出疹	全身红点
出疹	出疹子
出疹	皮肤出疹
出疹	身上出现红点
出疹	身上起小红点
出疹	身上起疹子
出疹	身上长红点
出血	一直流血
出血	全身出血
出血	全身性出血
出血	流血不止
出血	浑身出血
出血	浑身性出血
出血	血管破裂
出血	身上出血
出血	身上性出血
出血增多	出血量增多
出血点	点状出血
前列腺充血	前列腺淤血
前列腺充血	前列腺部充血
前列腺痛	前列腺疼痛
前列腺痛	前列腺部疼痛
前列腺痛	前列腺部痛
前列腺肿大	前列腺水肿
前列腺肿大	前列腺部肿大
前列腺肿胀	前列腺部肿胀
前臂肌萎缩	小胳膊肌萎缩
前臂麻木	小胳膊麻木
前额脱发	前额部脱发
剧烈头痛	头痛剧烈
剧烈疼痛	疼痛剧烈
剧烈腹痛	急性剧烈腹痛
剧烈腹痛	腹痛剧烈
剧烈腹痛	腹痛难忍
动脉出血	全身动脉出血
动脉收缩压	全身动脉收缩压
动脉收缩压	全身血管收缩压
动脉收缩压	血管收缩压
动脉畸形	全身动脉畸形
动脉痉挛	全身动脉痉挛
动脉破溃	全身动脉破溃
动脉缺血	全身动脉缺血
劳力性呼吸困难	劳累后呼吸困难
劳力性呼吸困难	劳累后呼吸苦难
劳力性呼吸困难	劳累性呼吸困难
包皮充血	尿道口周围充血
包皮垢	包皮垢刺激
包皮垢	包皮垢多
包皮垢	尿道口周围垢
包皮垢	龟头有异味
包皮水肿	尿道口周围水肿
包皮溃疡	尿道口周围溃烂
包皮溃疡	尿道口周围溃疡
包皮疼痛	尿道口周围疼痛
包皮瘙痒	尿道口周围瘙痒
包皮红斑	尿道口周围红斑
包皮红肿	尿道口周围红肿
包皮过长	尿道口周围过长
包皮过长	龟头露不出来
化脓	伤口发炎
十二指肠球部溃疡	十二指肠球溃疡
十二指肠球部畸形	十二指肠球畸形
午后低热	下午低热
压痛	局部压痛
压痛	有压痛
厌油	厌恶油腻
厌油	厌油腻
厌油	厌食油腻
反复头痛	经常头疼
反复头痛	经常头痛
反复高热	反复发烧
反流	胃反流
反流	胃液反流
反流	胃部液反流
反流	胃食管反流
反流	食道发炎
反流	食道返流
发热	体温升高
发热	全身发烫
发热	内热
发热	发烧
发热	发热不适
发热	发高烧
发热	可伴发热
发热	可有发热
发热	心燥热
发热	手心发烫
发热	手心很热
发绀	发紫
发绀	口唇发绀
发绀	口唇青紫
发绀	嘴唇发紫
发绀	嘴唇青
发绀	紫嘴唇
发绀	紫绀
发育不良	上下肢发育不良
发育不良	乳房未发育
发育不良	没有乳头
发育不良	生长发育不良
发育不良	肢体发育不良
发育不良	胎儿发育不好
发育不良	胳膊腿发育不良
发育不良	胸部不发育
发育不良	身体发育不良
发育不良	身体各处发育不良
受凉	全身皮肤受凉
受凉	全身肌肉受凉
受凉	受凉史
受凉	受风着凉
受凉	皮肤受凉
受凉	着凉
受凉	肌肉受凉
受凉	身体受凉
口吐白沫	口吐泡沫
口唇紫绀	上下唇紫绀
口唇紫绀	口唇发紫
口唇紫绀	唇紫绀
口唇紫绀	唇部紫绀
口唇紫绀	嘴唇紫绀
口干	口唇干
口干	口唇干燥
口干	口好干
口干	口干不欲饮
口干	口干唇燥
口干	口干渴
口干	口干症
口干	口干舌燥
口干	口很干
口干	口渴
口干	口渴喜饮
口疮	口腔反复溃疡
口疮	口腔总是溃疡
口疮	口腔粘膜溃疡
口疮	口腔黏膜溃疡
口疮	口舌溃疡
口疮	嘴巴溃疡
口疮	嘴溃疡
口疮	嘴里溃疡
口疮	囗腔溃疡
口疮	舌头上有溃疡
口腔黏膜充血	口腔粘膜弥漫充血
口腔黏膜充血	口腔黏膜弥漫充血
口腔黏膜出血	口腔粘膜出血
口腔黏膜出血点	口腔粘膜出血点
口腔黏膜疼痛	口腔粘膜疼痛
口腔黏膜红肿	口腔粘膜红肿
口臭	出气有异味
口臭	口中异味
口臭	口中有异味
口臭	口有异味
口臭	口气重
口臭	口腔异味
口臭	口腔有异味
口臭	口腔里有异味
口臭	口臭症
口臭	口里有异味
口臭	嘴巴有异味
口苦	舌头发苦
口苦	舌头苦
右上腹不适	右上腹部不适
右上腹绞痛	右上腹部绞痛
右下腹压痛	右下腹部压痛
右下腹压痛	小肚子右侧压痛
右下腹肿块	右下腹包块
右下腹肿块	右下腹部包块
右下腹肿块	右下腹部肿块
右下腹肿块	小肚子右侧包块
右下腹肿块	小肚子右侧肿块
右肩牵涉痛	右肩背牵涉痛
右肩牵涉痛	右肩背部牵涉痛
右肩牵涉痛	右肩部牵涉痛
右腹痛	右侧肚子疼
右腹痛	右侧肚子痛
右腹痛	右腹部痛
右腹痛	右边肚子疼
右腹痛	右边肚子痛
右腹痛	肚子右侧疼
右腹痛	肚子右侧痛
右腹痛	肚子右边疼
右腹痛	肚子右边疼痛
右腹痛	肚子右边痛
右腹痛	腹部右侧疼痛
后颈部疼痛	后颈疼痛
后颈部疼痛	脖子后面疼痛
向心性肥胖	向心型肥胖
向心性肥胖	身体向心性肥胖
吞咽困难	吞咽障碍
吞咽困难	咽下困难
听力下降	听力减退
吸气性呼吸困难	吸气困难
呕吐	呕吐不适
呕吐	呕心呕吐
呕血	吐出血
呕血	吐血
呛咳	呛到气管
呼吸道水肿	上下呼吸道水肿
呼吸道水肿	呼吸系统水肿
咯血	吐痰带血
咯血	吐痰带血丝
咯血	咳痰带血
咯血	咳血
咯血	咳血痰
咯血	大咯血
咯血	痰中带血
咯血	痰中带血丝
咯血	痰中有血丝
咯血	痰带有血丝
咯血	痰带血丝
咳喘	喘咳
咳嗽	伤风咳嗽
咳嗽	咳嗽不爽
咳嗽加重	咳嗽加剧
咳痰	咳浓痰
咳痰	咳痰不爽
咳痰	很多痰
咳痰	有痰
咳痰	痰卡在喉咙
咽干	口咽干
咽干	口咽干燥
咽干	口咽部干
咽干	口干咽燥
咽干	口燥咽干
咽干	咽喉干燥
咽干	咽喉部干
咽干	咽干不适
咽干	咽干口燥
咽干	咽干舌燥
咽干	咽部干
咽痒	口咽痒
咽痒	口咽瘙痒
咽痒	口咽部痒
咽痒	口咽部瘙痒
咽痒	咽喉痒
咽痒	咽喉瘙痒
咽痒	咽喉部痒
咽痒	咽喉部瘙痒
咽痒	咽瘙痒
咽痒	咽部发痒
咽痒	咽部痒
咽痛	口咽疼
咽痛	口咽疼痛
咽痛	口咽痛
咽痛	口咽部疼
咽痛	口咽部疼痛
咽痛	口咽部痛
咽痛	咽喉剧痛
咽痛	咽喉有点痛
咽痛	咽喉疼
咽痛	咽喉疼痛
咽痛	咽喉痛
咽部不适	口咽不舒服
咽部不适	口咽不适
咽部不适	口咽部不舒服
咽部不适	口咽部不适
咽部不适	咽不舒服
咽部不适	咽不适
咽部不适	咽喉不舒服
咽部不适	咽喉不适
咽部不适	咽喉部不舒服
咽部不适	咽喉部不适
咽部不适	咽喉难受
咽部出血	口咽出血
咽部出血	口咽部出血
咽部出血	咽出血
咽部出血	咽喉出血
咽部出血	咽喉部出血
咽部出血	喉咙出血
咽部出血	嗓子出血
咽部异物感	口咽异物感
咽部异物感	口咽部异物感
咽部异物感	咽喉异物感
咽部异物感	咽喉有异物
咽部异物感	咽喉部异物感
咽部异物感	咽异物感
咽部异物感	咽部有异物感
咽部异物感	喉咙异物感
咽部异物感	喉咙感觉有异物
咽部异物感	喉咙有异物
咽部异物感	喉咙里有异物
咽部疱疹	口咽疱疹
咽部疱疹	口咽部疱疹
咽部疱疹	咽喉疱疹
咽部疱疹	咽喉部疱疹
咽部疱疹	咽疱疹
咽部疱疹	喉咙疱疹
咽部疱疹	嗓子疱疹
咽部脓肿	口咽脓肿
咽部脓肿	口咽部脓肿
咽部脓肿	咽喉脓肿
咽部脓肿	咽喉部脓肿
咽部脓肿	咽脓肿
咽部脓肿	喉咙脓肿
咽部脓肿	嗓子脓肿
啰音	肺部啰音
喂养困难	婴儿喂养困难
喉水肿	喉部水肿
喉痉挛	口咽痉挛
喉痉挛	口咽部痉挛
喉痉挛	咽喉痉挛
喉痉挛	咽喉肌肉痉挛
喉痉挛	咽喉部痉挛
喉痉挛	咽喉部肌肉痉挛
喉痉挛	咽痉挛
喉痉挛	咽部痉挛
喉痉挛	喉咙痉挛
喉痉挛	喉部痉挛
喉痉挛	嗓子痉挛
喉部充血	喉充血
喘息	喘促
喘息	喘憋
喘息	气喘
喷射性呕吐	喷射样呕吐
喷射性呕吐	喷射状呕吐
嗜睡	瞌睡
噩梦	恶梦
四肢关节疼痛	四肢关节痛
四肢关节疼痛	四肢骨关节疼痛
四肢关节疼痛	四肢骨关节痛
四肢发冷	上下肢发冷
四肢发冷	上下肢发凉
四肢发冷	全身发冷
四肢发冷	四肢不温
四肢发冷	四肢冷
四肢发冷	四肢湿冷
四肢发冷	形寒肢冷
四肢发冷	浑身冷
四肢发冷	浑身发冷
四肢发冷	肢体发冷
四肢发冷	肢体发凉
四肢骨骼肌痛	四肢骨肌痛
回盲部脓肿	回盲脓肿
地图舌	舌苔脱落
坐骨神经痛	坐骨神精痛
坐骨神经痛	坐骨神经疼
坐骨神经痛	大腿后侧痛
坐骨神经痛	大腿根痛
坐骨神经痛	大腿根部痛
坐骨神经痛	大腿神经疼
坠痛	小肚子坠
垂体泌乳	脑垂体泌乳
垂体脓肿	脑垂体脓肿
复视	目眩
复视	看东西有重影
复视	眼睛看东西重影
复视	眼睛重影
外阴溃疡	外阴部溃疡
外阴痒痛	下体痒痛
外阴痒痛	会阴痒痛
外阴痒痛	会阴部痒痛
外阴痒痛	外生殖器痒痛
外阴痒痛	外阴部痒痛
外阴痒痛	女阴痒痛
外阴痒痛	女阴部痒痛
外阴痒痛	生殖器痒痛
外阴痒痛	生殖器部痒痛
外阴痒痛	私处痒痛
外阴痒痛	阴痒痛
外阴红斑	下体红斑
外阴红斑	会阴红斑
外阴红斑	外生殖器红斑
外阴红斑	外阴部红斑
外阴红斑	女阴红斑
外阴红斑	女阴部红斑
外阴红斑	生殖器红斑
外阴红斑	生殖器部红斑
外阴红斑	私处红斑
外阴红斑	阴红斑
外阴红斑	阴部红斑
外阴肿	下体红肿
外阴肿	下体肿
外阴肿	会阴红肿
外阴肿	会阴肿
外阴肿	会阴部红肿
外阴肿	会阴部肿
外阴肿	外生殖器红肿
外阴肿	外生殖器肿
外阴肿	外阴水肿
外阴肿	外阴红肿
外阴肿	外阴肿大
多尿	小便多
多尿	小便很多
多尿	尿多
多梦	一闭上眼睛就做梦
多梦	夜寐多梦
多梦	少寐多梦
多梦	睡眠多梦
多梦	闭上眼睛就做梦
多毛	毛发增多
多毛	汗毛过多
多汗	体虚多汗
多汗	头部汗多
多汗	手脚汗多
多疑	敏感多疑
多疑	猜疑
多食	多食善饥
多食	多食易饥
夜间阵发性呼吸困难	阵发性夜间呼吸困难
大出血	出血多
大出血	出血量大
大出血	急性大出血
失忆	记忆力消失
失明	一只眼睛看不见
失明	眼睛看不到
失明	眼睛看不见
失眠	一直睡不好
失眠	夜间失眠
失眠	失眠多梦
失眠	失眠梦多
失眠	总是睡不好
失眠	晚上睡不好
失眠	晚上睡不好觉
失眠	睡不着觉
失眠	睡眠质量差
失眠	睡觉不踏实
失眠	老是睡不好
失语	失语症
失语	言语障碍
失语	语言功能障碍
失语	语言障碍
头晕	偶尔头晕
头晕	出现头晕
头晕	大脑晕
头晕	头发晕
头晕	头好晕
头晕	头很晕
头晕	头昏
头晕	头昏想睡觉
头晕	头晕不适
头晕	头晕的厉害
头晕	头晕脑涨
头痛	中枢神经系统疼痛
头痛	偏头疼
头痛	偏头痛
头痛	前额痛
头痛	右后脑疼痛
头痛	后脑勺痛
头痛	后脑疼痛
头痛	大脑动脉疼痛
头痛	大脑疼
头痛	大脑疼痛
头痛	大脑痛
头皮出血	头皮部出血
头皮出血	头部皮肤出血
头皮化脓	头皮部化脓
头皮化脓	头部皮肤化脓
头皮屑	多头皮
头皮屑	头屑多
头皮屑	头皮多
头皮屑	头皮屑多
